1 2 3
0 3 2
1 4 2
3 4 7
0 5 3
0 6 7
4 6 1
5 6 5
2 7 5
1 9 2
7 9 1
2 10 5
1 11 4
5 11 6
3 12 4
6 12 6
1 13 7
2 13 7
10 13 3
2 14 4
4 14 2
5 14 6
7 14 3
6 15 1
7 15 6
13 15 4
13 16 4
2 17 4
4 17 3
7 17 5
0 18 6
9 18 6
0 19 3
1 19 4
6 19 3
9 19 4
10 19 4
12 19 3
13 19 4
16 19 3
6 20 5
7 20 2
10 20 5
12 20 4
16 20 5
8 21 3
13 21 4
17 21 4
3 22 2
14 22 3
17 22 1
20 22 1
3 23 5
5 23 4
16 23 3
2 24 5
5 24 5
10 24 4
14 24 7
8 25 4
13 25 0
17 25 3
18 25 4
2 26 4
3 26 4
4 26 3
10 26 5
11 26 3
16 26 3
24 26 6
0 27 4
2 27 4
10 27 5
16 27 5
18 27 3
5 28 5
10 28 3
11 28 5
20 28 5
23 28 4
11 29 3
18 29 4
22 29 3
23 29 3
7 30 1
10 30 3
19 30 6
21 30 1
5 31 3
12 31 2
13 31 2
14 31 3
17 31 4
21 31 6
30 31 7
3 32 6
4 32 6
8 32 3
10 32 4
14 32 2
23 32 5
26 32 4
28 32 4
16 33 3
17 33 3
26 33 3
27 33 5
0 34 4
2 34 3
6 34 2
18 34 4
33 34 4
3 35 4
14 35 3
24 35 2
29 35 4
33 35 1
0 36 5
6 36 5
16 36 2
19 36 5
24 36 3
25 36 4
9 37 8
15 37 3
17 37 1
18 37 4
19 37 2
23 37 2
24 37 2
33 37 3
2 38 2
5 38 3
6 38 5
14 38 5
25 38 3
27 38 3
1 39 4
2 39 7
7 39 7
8 39 4
10 39 3
15 39 1
17 39 5
21 39 6
26 39 3
31 39 6
35 39 3
3 40 2
5 40 3
11 40 6
15 40 3
24 40 3
28 40 5
30 40 3
0 41 2
7 41 4
8 41 5
12 41 4
33 41 3
34 41 3
39 41 4
1 42 3
7 42 4
17 42 4
19 42 3
25 42 3
27 42 2
29 42 1
30 42 4
32 42 2
33 42 2
0 43 4
4 43 1
9 43 4
18 43 4
35 43 2
36 43 3
37 43 4
38 43 4
40 43 2
42 43 2
9 44 4
10 44 5
12 44 4
18 44 3
19 44 6
30 44 3
38 44 3
2 45 5
11 45 3
17 45 4
18 45 2
19 45 3
20 45 2
26 45 2
27 45 5
30 45 3
31 45 2
35 45 2
36 45 2
0 46 6
3 46 4
6 46 4
11 46 1
12 46 7
13 46 0
17 46 2
18 46 4
20 46 3
27 46 4
38 46 4
4 47 4
8 47 6
17 47 6
27 47 1
28 47 1
30 47 3
31 47 5
33 47 4
34 47 5
39 47 3
0 48 4
5 48 5
11 48 4
19 48 3
20 48 5
27 48 6
28 48 5
30 48 5
31 48 4
43 48 3
1 49 5
11 49 8
13 49 4
14 49 3
24 49 4
26 49 3
29 49 5
40 49 3
41 49 3
44 49 4
7 50 3
12 50 5
14 50 4
15 50 4
21 50 2
37 50 3
38 50 7
44 50 3
46 50 3
1 51 3
2 51 8
8 51 0
11 51 6
13 51 5
14 51 1
16 51 2
17 51 3
27 51 4
30 51 4
40 51 5
45 51 7
48 51 4
11 52 8
12 52 5
21 52 2
26 52 4
28 52 4
29 52 5
32 52 5
35 52 3
36 52 1
46 52 5
49 52 5
51 52 1
3 53 5
4 53 5
18 53 2
26 53 3
28 53 4
29 53 3
33 53 5
35 53 7
36 53 1
48 53 2
3 54 2
4 54 5
7 54 4
17 54 8
18 54 2
19 54 4
21 54 3
42 54 4
44 54 4
46 54 4
47 54 3
48 54 5
51 54 2
3 55 2
6 55 4
8 55 6
9 55 4
12 55 7
18 55 2
25 55 4
30 55 4
41 55 4
47 55 3
48 55 1
50 55 2
4 56 1
8 56 1
9 56 2
10 56 3
15 56 5
16 56 3
20 56 4
27 56 3
28 56 4
31 56 1
33 56 4
34 56 4
40 56 4
1 57 1
6 57 2
7 57 4
8 57 5
15 57 5
24 57 1
29 57 2
45 57 3
47 57 6
54 57 2
56 57 3
4 58 3
9 58 5
18 58 4
19 58 2
29 58 4
34 58 4
47 58 5
49 58 2
50 58 1
56 58 4
0 59 4
11 59 3
15 59 6
22 59 4
23 59 3
25 59 2
41 59 5
42 59 2
49 59 2
50 59 2
56 59 3
1 60 6
11 60 5
13 60 5
32 60 1
35 60 3
37 60 2
39 60 4
40 60 4
49 60 6
54 60 0
6 61 4
9 61 5
12 61 4
20 61 3
24 61 4
26 61 4
27 61 1
37 61 6
43 61 7
48 61 3
60 61 3
0 62 5
11 62 5
12 62 3
18 62 7
23 62 3
25 62 2
32 62 1
35 62 5
40 62 3
43 62 6
44 62 2
45 62 5
51 62 3
53 62 2
61 62 3
1 63 2
7 63 7
8 63 4
16 63 5
20 63 5
21 63 7
28 63 3
31 63 2
32 63 4
35 63 2
36 63 2
39 63 9
41 63 5
59 63 2
4 64 4
9 64 3
16 64 4
23 64 7
28 64 6
34 64 2
35 64 1
37 64 5
40 64 3
48 64 3
53 64 7
54 64 3
5 65 3
8 65 1
14 65 7
22 65 4
24 65 8
26 65 3
29 65 3
36 65 2
43 65 3
50 65 1
60 65 4
61 65 4
7 66 3
12 66 2
15 66 6
22 66 3
23 66 5
40 66 4
41 66 5
45 66 2
51 66 3
55 66 4
57 66 6
59 66 7
64 66 2
1 67 3
13 67 6
15 67 4
16 67 4
20 67 3
21 67 5
27 67 3
29 67 1
31 67 5
38 67 7
43 67 3
48 67 6
49 67 5
50 67 4
54 67 2
1 68 4
4 68 3
10 68 5
20 68 4
21 68 5
27 68 4
32 68 8
42 68 6
44 68 3
48 68 3
49 68 3
52 68 4
54 68 6
63 68 6
9 69 2
12 69 4
15 69 3
22 69 3
35 69 3
40 69 5
41 69 2
46 69 5
47 69 3
52 69 5
56 69 5
58 69 6
5 70 5
6 70 2
8 70 3
11 70 4
22 70 5
23 70 6
27 70 2
29 70 5
33 70 4
36 70 1
48 70 3
58 70 3
62 70 2
66 70 3
9 71 6
10 71 5
17 71 5
21 71 1
25 71 5
26 71 2
36 71 5
38 71 8
43 71 4
44 71 4
46 71 2
58 71 3
60 71 1
9 72 3
12 72 3
14 72 4
16 72 3
18 72 6
24 72 5
25 72 2
26 72 4
28 72 3
29 72 5
31 72 2
37 72 5
41 72 1
52 72 4
64 72 5
65 72 7
8 73 5
22 73 3
25 73 5
33 73 5
53 73 5
55 73 3
58 73 3
60 73 5
70 73 6
8 74 5
15 74 3
30 74 4
31 74 4
32 74 3
34 74 4
38 74 4
41 74 5
44 74 4
47 74 5
49 74 4
65 74 3
67 74 6
73 74 6
2 75 4
13 75 5
15 75 3
18 75 3
20 75 2
21 75 2
34 75 6
51 75 4
58 75 5
59 75 4
65 75 2
68 75 4
70 75 3
72 75 2
0 76 5
1 76 1
6 76 6
11 76 3
17 76 2
23 76 3
30 76 1
34 76 4
36 76 3
38 76 4
50 76 5
55 76 4
56 76 2
59 76 6
61 76 3
62 76 4
66 76 3
71 76 4
3 77 5
22 77 4
32 77 5
33 77 5
40 77 3
41 77 4
43 77 2
46 77 4
52 77 4
53 77 4
58 77 2
61 77 2
68 77 4
69 77 7
74 77 3
2 78 1
8 78 3
19 78 3
21 78 3
22 78 3
25 78 5
34 78 2
36 78 6
37 78 5
44 78 4
46 78 4
50 78 5
53 78 2
64 78 4
69 78 3
2 79 5
4 79 3
5 79 2
6 79 5
7 79 6
13 79 4
16 79 3
20 79 5
21 79 3
24 79 4
35 79 7
39 79 5
42 79 2
43 79 4
45 79 5
55 79 1
57 79 4
62 79 3
63 79 6
7 80 4
14 80 5
16 80 4
21 80 2
23 80 5
24 80 5
29 80 5
38 80 2
39 80 4
40 80 3
53 80 3
60 80 4
63 80 4
64 80 5
65 80 5
70 80 4
72 80 6
73 80 3
0 81 2
15 81 4
21 81 2
25 81 4
28 81 2
33 81 3
38 81 3
53 81 4
58 81 3
59 81 6
63 81 4
66 81 4
68 81 4
69 81 3
73 81 6
74 81 4
77 81 7
6 82 3
9 82 2
11 82 0
23 82 2
24 82 3
25 82 7
30 82 1
36 82 5
38 82 7
42 82 2
50 82 3
61 82 3
66 82 2
67 82 2
71 82 4
78 82 4
80 82 4
81 82 3
3 83 3
5 83 3
12 83 6
16 83 1
26 83 4
31 83 3
34 83 1
37 83 5
38 83 4
39 83 2
42 83 2
43 83 4
50 83 4
57 83 0
61 83 5
68 83 1
76 83 4
0 84 6
3 84 6
5 84 3
6 84 5
9 84 4
12 84 7
29 84 2
30 84 3
35 84 5
37 84 3
52 84 4
55 84 8
62 84 3
73 84 3
81 84 2
83 84 5
1 85 2
3 85 2
8 85 5
14 85 3
22 85 5
23 85 3
25 85 2
28 85 2
31 85 2
33 85 4
34 85 3
47 85 7
50 85 1
57 85 3
60 85 3
61 85 1
69 85 2
70 85 6
73 85 6
75 85 2
1 86 4
3 86 7
4 86 5
13 86 4
19 86 3
23 86 2
30 86 3
34 86 0
35 86 7
40 86 4
53 86 4
60 86 6
65 86 2
69 86 4
72 86 1
73 86 3
79 86 3
84 86 5
10 87 3
14 87 4
22 87 6
38 87 5
41 87 3
43 87 4
45 87 2
47 87 3
57 87 3
58 87 5
59 87 3
65 87 5
67 87 3
71 87 5
73 87 3
74 87 6
75 87 4
78 87 1
0 88 5
8 88 2
10 88 4
12 88 8
20 88 4
24 88 2
27 88 4
36 88 5
44 88 4
45 88 3
46 88 9
52 88 5
54 88 2
55 88 3
69 88 5
78 88 6
83 88 3
84 88 6
86 88 2
0 89 2
2 89 4
7 89 4
13 89 5
15 89 7
22 89 4
33 89 5
44 89 1
51 89 4
56 89 4
59 89 5
70 89 5
75 89 7
77 89 4
80 89 3
82 89 2
2 90 3
3 90 3
4 90 3
5 90 3
11 90 4
13 90 2
18 90 1
23 90 5
32 90 6
34 90 5
39 90 2
52 90 2
59 90 2
60 90 7
64 90 3
65 90 3
71 90 1
73 90 3
74 90 5
3 91 5
4 91 7
5 91 3
14 91 6
16 91 1
17 91 3
23 91 6
25 91 1
29 91 5
32 91 4
35 91 6
44 91 1
47 91 5
49 91 5
57 91 4
58 91 5
69 91 5
86 91 5
20 92 3
28 92 5
30 92 4
31 92 3
34 92 4
40 92 6
51 92 5
56 92 8
57 92 4
66 92 4
69 92 3
73 92 4
74 92 6
75 92 4
89 92 5
90 92 3
91 92 3
0 93 5
1 93 0
18 93 7
21 93 1
25 93 6
28 93 2
29 93 2
33 93 4
37 93 5
46 93 5
62 93 3
72 93 5
73 93 3
77 93 3
78 93 6
82 93 3
83 93 2
88 93 4
89 93 5
92 93 3
1 94 4
6 94 3
9 94 4
10 94 5
16 94 2
20 94 6
22 94 3
24 94 2
30 94 5
31 94 4
38 94 3
39 94 4
41 94 1
42 94 3
48 94 4
65 94 2
67 94 6
71 94 3
84 94 3
7 95 4
10 95 6
12 95 2
16 95 4
17 95 6
19 95 6
22 95 2
27 95 4
32 95 3
45 95 4
50 95 4
54 95 5
58 95 5
63 95 4
64 95 2
68 95 6
71 95 5
75 95 3
76 95 3
87 95 6
2 96 1
4 96 2
5 96 3
11 96 5
15 96 2
21 96 2
24 96 3
28 96 6
42 96 1
44 96 2
49 96 7
52 96 4
53 96 4
60 96 3
64 96 3
67 96 4
73 96 4
74 96 6
92 96 3
5 97 3
8 97 3
10 97 2
13 97 5
14 97 5
15 97 5
35 97 4
37 97 2
41 97 5
49 97 5
53 97 2
57 97 6
60 97 4
66 97 5
70 97 4
77 97 3
87 97 4
89 97 5
91 97 6
92 97 4
7 98 5
9 98 8
15 98 3
22 98 2
23 98 2
25 98 4
26 98 3
33 98 4
36 98 4
37 98 8
41 98 4
44 98 4
55 98 4
61 98 3
63 98 3
64 98 4
71 98 5
78 98 6
84 98 3
89 98 5
8 99 4
9 99 3
22 99 5
29 99 3
32 99 4
34 99 2
36 99 0
42 99 6
47 99 4
55 99 4
57 99 4
59 99 5
61 99 2
66 99 5
68 99 5
75 99 3
77 99 5
81 99 4
94 99 3
96 99 1
